ts,machine_id,line,temp_c,vibration_mm_s,pressure_bar,throughput_units,status
2024-06-01 00:00:02,M006,LINE_2,74.13,5.443,6.32,98.0,fault
2024-06-01 00:00:02,M016,LINE_4,65.24,3.79,6.61,104.0,warn
2024-06-01 00:00:07,M005,LINE_1,49.93,2.9,5.19,98.0,ok
2024-06-01 00:00:27,M020,LINE_4,59.44,3.006,5.67,95.0,ok
2024-06-01 00:00:29,M008,LINE_4,76.72,2.953,4.93,75.0,ok
2024-06-01 00:00:32,M019,LINE_3,71.81,2.361,5.21,91.0,ok
2024-06-01 00:00:38,M020,LINE_4,57.91,1.588,5.47,74.0,ok
2024-06-01 00:00:51,M009,LINE_1,72.74,2.084,5.99,73.0,ok
2024-06-01 00:00:55,M007,LINE_3,68.14,3.458,5.85,117.0,ok
2024-06-01 00:00:57,M020,LINE_4,64.62,3.977,5.24,84.0,warn
2024-06-01 00:01:00,M009,LINE_1,81.72,3.517,4.78,72.0,warn
2024-06-01 00:01:04,M020,LINE_4,60.45,1.587,6.25,87.0,ok
2024-06-01 00:01:16,M004,LINE_4,78.74,4.006,6.31,105.0,warn
2024-06-01 00:01:35,M018,LINE_2,71.0,2.467,5.44,75.0,ok
2024-06-01 00:01:42,M002,LINE_2,58.01,2.203,6.12,85.0,ok
2024-06-01 00:01:44,M002,LINE_2,53.29,2.065,6.69,65.0,ok
2024-06-01 00:01:50,M022,LINE_2,68.29,3.424,5.13,102.0,ok
2024-06-01 00:01:59,M021,LINE_1,56.13,3.732,5.55,119.0,warn
2024-06-01 00:01:59,M021,LINE_1,74.31,3.571,5.83,69.0,warn
2024-06-01 00:02:01,M002,LINE_2,58.85,1.916,5.8,74.0,ok
2024-06-01 00:02:02,M024,LINE_4,66.3,3.831,5.84,124.0,warn
2024-06-01 00:02:08,M001,LINE_1,65.12,2.637,6.52,111.0,ok
2024-06-01 00:02:11,M018,LINE_2,71.3,5.395,6.23,74.0,fault
2024-06-01 00:02:15,M019,LINE_3,68.09,2.798,7.95,75.0,ok
2024-06-01 00:02:27,M014,LINE_2,55.75,2.171,6.75,133.0,ok
2024-06-01 00:02:28,M018,LINE_2,75.52,5.951,5.25,123.0,fault
2024-06-01 00:02:33,M020,LINE_4,52.18,2.696,5.68,88.0,ok
2024-06-01 00:02:35,M018,LINE_2,66.63,3.851,6.9,83.0,warn
2024-06-01 00:02:36,M003,LINE_3,64.31,2.438,5.54,52.0,ok
2024-06-01 00:02:40,M012,LINE_4,60.98,2.14,5.92,113.0,ok
2024-06-01 00:02:41,M012,LINE_4,61.87,2.802,6.76,66.0,ok
2024-06-01 00:02:44,M021,LINE_1,68.08,2.245,5.96,109.0,ok
2024-06-01 00:02:53,M007,LINE_3,69.46,3.359,7.08,86.0,ok
2024-06-01 00:02:57,M011,LINE_3,64.59,3.519,6.22,95.0,warn
2024-06-01 00:02:59,M021,LINE_1,75.86,3.443,6.74,82.0,ok
2024-06-01 00:03:09,M009,LINE_1,68.7,3.989,5.88,83.0,warn
2024-06-01 00:03:11,M014,LINE_2,68.0,0.998,6.39,51.0,ok
2024-06-01 00:03:21,M021,LINE_1,65.18,1.466,5.58,80.0,ok
2024-06-01 00:03:28,M020,LINE_4,59.19,2.536,6.66,96.0,ok
2024-06-01 00:03:32,M022,LINE_2,61.03,2.717,4.7,110.0,ok
2024-06-01 00:03:32,M023,LINE_3,64.67,2.453,6.07,112.0,ok
2024-06-01 00:03:35,M005,LINE_1,66.49,2.16,5.09,61.0,ok
2024-06-01 00:03:40,M010,LINE_2,66.23,1.115,6.47,115.0,ok
2024-06-01 00:03:40,M001,LINE_1,63.08,1.014,5.61,80.0,ok
2024-06-01 00:03:41,M007,LINE_3,78.3,3.41,6.32,114.0,ok
2024-06-01 00:03:46,M009,LINE_1,69.43,2.699,6.52,109.0,ok
2024-06-01 00:03:51,M011,LINE_3,67.47,4.245,5.62,96.0,warn
