customer_id,signup_date,gender,senior_citizen,partner,dependents,state,tenure_months,contract,payment_method,paperless_billing,internet_service,online_security,tech_support,monthly_charges,total_charges,churn
TEL00001,2018-11-29,Female,0,No,Yes,Karnataka,68,Month-to-month,Credit card,Yes,DSL,No,Yes,44.63,3034.84,No
TEL00002,2020-10-19,Female,0,No,No,Karnataka,45,Month-to-month,Bank transfer,No,DSL,No,No,51.35,2310.75,No
TEL00003,2020-06-21,Female,0,No,No,Maharashtra,49,One year,Mailed check,Yes,DSL,Yes,Yes,51.0,2499.0,No
TEL00004,2019-02-27,Female,1,Yes,No,Karnataka,65,Two year,Mailed check,Yes,DSL,Yes,No,50.9,3308.5,No
TEL00005,2021-01-17,Male,1,No,No,Telangana,42,Two year,Electronic check,Yes,DSL,Yes,No,61.2,2570.4,No
TEL00006,2019-11-24,Female,0,Yes,No,Delhi,56,Two year,Electronic check,Yes,Fiber optic,No,No,62.66,3508.96,No
TEL00007,2019-07-27,Male,1,No,No,Delhi,60,Month-to-month,Electronic check,No,DSL,No,No,45.55,2733.0,No
TEL00008,2023-03-08,Male,0,Yes,No,Maharashtra,16,Month-to-month,Electronic check,Yes,DSL,No,No,57.63,922.08,Yes
TEL00009,2024-03-02,Male,0,No,No,Tamil Nadu,4,Month-to-month,Bank transfer,Yes,Fiber optic,Yes,No,84.94,339.76,No
TEL00010,2022-10-09,Female,1,Yes,No,Telangana,21,Two year,Mailed check,No,DSL,No,Yes,44.57,935.97,No
TEL00011,2022-11-08,,0,No,No,Karnataka,20,Month-to-month,Electronic check,No,Fiber optic,No,Yes,70.05,1401.0,No
TEL00012,2019-04-28,Male,0,No,No,Tamil Nadu,63,Month-to-month,Electronic check,Yes,Fiber optic,No,No,74.31,4681.53,No
TEL00013,2019-01-28,Male,0,No,Yes,Karnataka,66,Month-to-month,Electronic check,Yes,Fiber optic,No,No,64.77,4274.82,Yes
TEL00014,2024-06-30,Male,0,No,No,Maharashtra,0,One year,Electronic check,Yes,No,No internet service,No internet service,20.54,,No
TEL00015,2021-07-16,Male,0,Yes,Yes,Maharashtra,36,Two year,Electronic check,Yes,DSL,Yes,No,39.12,1408.32,No
TEL00016,2019-08-26,Male,0,No,Yes,Maharashtra,59,Two year,Bank transfer,Yes,DSL,Yes,Yes,59.99,3539.41,No
TEL00017,2023-10-04,Female,0,No,No,West Bengal,9,One year,Credit card,No,Fiber optic,No,No,57.22,514.98,No
TEL00018,2019-09-25,Male,1,No,No,West Bengal,58,Two year,Bank transfer,No,No,No internet service,No internet service,21.02,1219.16,No
TEL00019,2023-11-03,Male,0,Yes,No,Maharashtra,8,Two year,Mailed check,No,Fiber optic,Yes,No,80.52,644.16,No
TEL00020,2021-09-14,Male,0,Yes,Yes,Gujarat,34,Two year,Mailed check,No,Fiber optic,No,No,64.64,2197.76,No
TEL00021,2019-08-26,Female,0,No,No,Tamil Nadu,59,One year,Electronic check,Yes,Fiber optic,Yes,Yes,67.48,3981.32,No
TEL00022,2022-09-09,Male,0,No,Yes,Gujarat,22,two year ,Electronic check,Yes,DSL,Yes,No,39.86,876.92,No
TEL00023,2022-07-11,Male,1,No,No,Tamil Nadu,24,Two year,Electronic check,No,Fiber optic,No,Yes,59.74,1433.76,Yes
TEL00024,2022-11-08,Male,0,Yes,No,Tamil Nadu,20,Month-to-month,Mailed check,Yes,Fiber optic,No,No,84.18,1683.6,No
TEL00025,2020-03-23,Female,1,No,No,Delhi,52,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,18.0,936.0,Yes
