customer_id,signup_date,first_order_date,last_order_date,age,gender,city,plan,device,payment_method,num_orders,total_spend,support_tickets,email_opt_in,is_churned
CUST00001,2021-04-19,,,31.0,F,Chennai,Premium,Desktop,Card,0,0.0,2,0,0
CUST00002,2023-07-31,,,54.0,F,Hyderabad,Standard,Desktop,Wallet,0,0.0,1,0,1
CUST00003,2023-03-07,2023-05-22,2023-05-22,43.0,Other,Pune,Premium,Mobile,Wallet,1,39.17,1,0,0
CUST00004,2022-06-18,2022-07-02,2022-07-02,28.0,F,Pune,Standard,Desktop,Card,1,2.74,1,1,0
CUST00005,2022-06-11,2022-09-18,2024-06-15,30.0,F,Mumbai,Standard,Mobile,Wallet,4,133.8,0,0,0
CUST00006,2023-11-11,2024-05-16,2024-05-16,36.0,M,Delhi,Standard,Mobile,Wallet,1,23.36,1,1,0
CUST00007,2021-04-15,2021-10-04,2022-08-16,39.0,M,Delhi,Premium,Mobile,UPI,2,73.7,1,1,0
CUST00008,2023-04-28,2023-09-30,2024-02-09,42.0,M,Hyderabad,Basic,Desktop,UPI,4,139.22,1,1,0
CUST00009,2021-09-02,2022-09-05,2023-08-30,38.0,Other,Delhi,Standard,Desktop,Card,3,367.17,0,1,0
CUST00010,2021-04-25,2022-03-27,2023-12-21,34.0,F,Hyderabad,Standard,Desktop,Card,2,29.25,1,1,0
CUST00011,2022-10-03,,,54.0,M,Bengaluru,Basic,Mobile,Card,0,0.0,0,1,1
CUST00012,2024-04-01,2024-04-27,2024-06-26,37.0,F,Hyderabad,Standard,Desktop,Card,2,125.2,1,1,0
CUST00013,2023-06-14,2024-04-08,2024-04-08,36.0,M,Bengaluru,Standard,Mobile,UPI,1,151.05,2,0,0
CUST00014,2023-07-15,2023-08-14,2024-04-25,35.0,F,Patna,Standard,Desktop,Card,4,77.25,0,1,0
CUST00015,2023-05-23,2023-06-27,2024-06-23,37.0,M,Coimbatore,Standard,Mobile,Card,9,289.94,0,0,0
CUST00016,2023-08-14,2023-09-18,2024-06-15,22.0,F,Bengaluru,Basic,Mobile,Card,11,496.67,1,1,0
CUST00017,2022-09-17,2023-03-12,2024-04-16,26.0,M,Bhopal,Premium,Mobile,UPI,8,204.8,0,1,0
CUST00018,2021-06-05,2022-04-04,2024-05-09,67.0,F,Pune,Basic,Mobile,UPI,4,139.39,1,0,0
CUST00019,2023-10-19,2024-02-26,2024-04-20,18.0,M,Delhi,Basic,Mobile,Wallet,2,30.73,0,1,0
CUST00020,2022-07-02,2022-10-25,2024-02-02,41.0,F,Hyderabad,Standard,Mobile,NetBanking,3,131.55,2,1,0
CUST00021,2022-09-01,2022-12-10,2024-04-02,42.0,M,Bengaluru,Standard,Tablet,NetBanking,2,109.81,0,1,0
CUST00022,2022-03-27,2022-08-19,2024-01-04,50.0,F,Kolkata,Standard,Desktop,Card,4,109.95,0,1,0
CUST00023,2021-08-10,2021-11-01,2024-04-23,42.0,M,Indore,Standard,Tablet,Card,3,80.55,0,0,0
CUST00024,2024-02-01,2024-02-16,2024-05-09,61.0,M,Chennai,Standard,Mobile,UPI,6,477.9,1,1,0
CUST00025,2023-08-09,2023-09-14,2024-03-05,41.0,F,Chennai,Standard,Mobile,Card,7,308.58,1,1,0
CUST00026,2023-02-22,2023-05-08,2023-12-29,54.0,M,Pune,Premium,Mobile,Card,5,232.02,0,1,0
CUST00027,2022-05-05,2022-10-25,2023-10-03,50.0,M,Hyderabad,Basic,Desktop,Wallet,2,61.02,0,1,0
CUST00028,2023-09-28,2023-11-10,2024-01-14,57.0,M,Bengaluru,Premium,Tablet,UPI,2,36.86,0,0,1
CUST00029,2022-10-26,2023-02-21,2024-05-08,38.0,F,Hyderabad,Premium,Mobile,UPI,4,189.07,0,1,0
CUST00030,2022-06-24,2022-09-08,2024-03-30,43.0,F,Kolkata,Premium,Mobile,UPI,4,68.14,0,0,1
CUST00031,2022-07-02,2023-10-21,2023-10-21,34.0,M,Chennai,Basic,Mobile,Wallet,1,25.93,0,1,0
CUST00032,2021-10-04,2022-10-29,2023-02-11,40.0,M,Mumbai,Premium,Desktop,Wallet,2,35.93,0,1,0
CUST00033,2021-04-23,,,41.0,F,Mumbai,Basic,Desktop,Wallet,0,0.0,1,0,0
CUST00034,2022-11-06,2024-01-01,2024-05-27,,F,Bengaluru,Basic,Desktop,Card,2,122.39,0,0,0
CUST00035,2023-12-16,2023-12-30,2024-06-23,36.0,M,Chennai,Basic,Desktop,UPI,9,304.57,0,1,0
CUST00036,2021-03-19,,,49.0,M,Bengaluru,Premium,Mobile,Card,0,0.0,0,1,0
CUST00037,2023-11-10,2023-12-03,2024-06-18,22.0,F,Bengaluru,Premium,Mobile,NetBanking,3,71.34,1,1,0
CUST00038,2023-10-04,2024-03-02,2024-03-02,26.0,M,Indore,Basic,Mobile,Card,1,6.98,1,1,1
CUST00039,2021-12-03,2022-06-06,2023-08-29,52.0,M,Jaipur,Standard,Desktop,Card,8,240.49,0,1,0
CUST00040,2023-02-08,2023-02-27,2024-05-07,54.0,,Bengaluru,Standard,Desktop,NetBanking,6,211.14,1,1,0
CUST00041,2021-07-20,2021-12-03,2024-06-21,31.0,Other,Pune,Basic,Mobile,UPI,4,138.51,0,0,0
CUST00042,2023-07-11,2023-08-31,2024-06-29,40.0,F,Bengaluru,Standard,Mobile,Card,8,398.74,1,0,0
CUST00043,2023-05-02,,,37.0,M,Hyderabad,Basic,Mobile,Card,0,0.0,0,1,0
CUST00044,2022-03-08,,,52.0,M,Delhi,Standard,Mobile,UPI,0,0.0,1,1,1
CUST00045,2021-03-24,,,32.0,M,Hyderabad,Basic,Mobile,UPI,0,0.0,1,1,1
CUST00046,2024-03-26,2024-03-26,2024-06-16,33.0,M,Chennai,Basic,Desktop,UPI,8,293.61,0,0,0
CUST00047,2022-06-26,,,54.0,Other,Bengaluru,Standard,Mobile,Card,0,0.0,0,1,1
CUST00048,2023-12-23,2024-02-26,2024-04-07,,M,Pune,Basic,Tablet,UPI,3,97.62,1,1,0
CUST00049,2023-04-05,,,32.0,F,Delhi,Standard,Mobile,Card,0,0.0,1,1,1
CUST00050,2023-08-05,2023-08-14,2024-04-06,40.0,F,Mumbai,Standard,Mobile,NetBanking,3,121.85,0,1,0
