customer_id,tenure_months,monthly_charges,contract_type,tech_support_calls,num_products,online_security,churn
1,15,1059,Month-to-Month,4,2,0,1
2,14,1058,2-Year,8,1,1,1
3,4,523,Month-to-Month,3,5,1,0
4,26,965,2-Year,8,4,0,1
5,36,1077,Month-to-Month,2,4,0,1
6,28,404,Month-to-Month,1,4,0,1
7,45,570,1-Year,0,4,1,0
8,49,865,Month-to-Month,4,5,0,1
9,9,977,Month-to-Month,3,3,0,1
10,13,584,1-Year,7,3,0,0
11,27,573,2-Year,1,5,1,0
12,32,773,Month-to-Month,6,3,1,1
13,29,632,2-Year,0,2,0,0
14,52,367,Month-to-Month,3,5,1,0
15,64,958,1-Year,7,2,0,1
16,72,569,1-Year,6,5,0,0
17,18,805,1-Year,1,1,0,1
18,21,732,2-Year,1,4,0,0
19,60,557,1-Year,8,1,1,0
20,69,1087,Month-to-Month,5,1,0,1
21,59,1039,Month-to-Month,4,5,0,1
22,14,605,2-Year,8,5,0,0
23,21,1097,1-Year,8,1,1,1
24,3,671,Month-to-Month,4,2,0,1
25,11,1049,Month-to-Month,7,1,1,1
26,17,786,2-Year,8,2,0,1
27,55,852,Month-to-Month,3,3,0,1
28,48,829,1-Year,7,1,0,1
29,44,902,Month-to-Month,8,2,1,1
30,10,946,2-Year,0,2,0,1
31,43,826,Month-to-Month,3,3,1,1
32,70,1040,Month-to-Month,7,2,0,1
33,25,399,Month-to-Month,6,3,0,1
34,7,969,2-Year,1,1,0,1
35,14,496,Month-to-Month,3,5,0,1
36,24,773,Month-to-Month,3,1,0,1
37,71,351,Month-to-Month,8,1,0,1
38,31,716,Month-to-Month,7,4,0,1
39,8,688,Month-to-Month,0,4,0,1
40,59,733,Month-to-Month,8,4,0,1
41,28,893,Month-to-Month,8,1,1,1
42,7,788,1-Year,8,5,0,0
43,66,490,Month-to-Month,1,5,0,1
44,31,422,1-Year,3,5,1,1
45,11,973,1-Year,8,3,0,1
46,41,571,Month-to-Month,6,2,1,1
47,59,1069,Month-to-Month,1,1,0,1
48,13,850,Month-to-Month,3,5,0,1
49,45,550,Month-to-Month,5,3,0,1
50,70,609,2-Year,8,1,1,0
51,39,406,2-Year,2,3,0,0
52,71,578,Month-to-Month,4,5,0,1
53,27,949,2-Year,4,5,0,0
54,7,949,Month-to-Month,6,3,0,0
55,17,568,2-Year,2,4,1,0
56,72,414,Month-to-Month,1,2,1,1
57,48,865,1-Year,2,4,0,1
58,47,666,Month-to-Month,3,2,1,0
59,72,935,1-Year,2,2,0,0
60,23,325,1-Year,2,3,0,0
61,32,463,Month-to-Month,1,4,0,1
62,29,771,Month-to-Month,5,3,0,1
63,25,636,1-Year,4,1,0,0
64,66,995,1-Year,8,3,0,1
65,34,894,Month-to-Month,4,1,0,1
66,45,621,2-Year,6,5,1,0
67,25,345,Month-to-Month,6,1,1,1
68,69,1036,2-Year,3,3,0,1
69,43,621,1-Year,1,3,1,0
70,53,712,Month-to-Month,4,5,0,1
71,49,1066,2-Year,2,5,1,0
72,71,611,Month-to-Month,4,2,0,1
73,42,752,1-Year,7,2,1,1
74,22,386,2-Year,4,5,1,0
75,43,1069,Month-to-Month,3,3,0,1
76,19,347,Month-to-Month,3,4,1,0
77,10,724,1-Year,3,4,0,1
78,19,1004,2-Year,0,1,0,1
79,67,351,1-Year,8,2,0,0
80,60,843,2-Year,8,5,0,1
81,57,1036,1-Year,8,4,1,1
82,21,786,2-Year,7,3,0,1
83,36,796,1-Year,3,3,0,1
84,37,578,Month-to-Month,5,3,1,0
85,20,692,Month-to-Month,2,2,0,1
86,43,777,1-Year,6,1,0,1
87,50,1012,1-Year,0,5,0,0
88,46,1071,Month-to-Month,6,4,1,1
89,70,525,1-Year,7,2,0,0
90,4,644,1-Year,6,2,0,1
91,69,703,Month-to-Month,0,1,1,1
92,60,351,Month-to-Month,4,4,0,1
93,42,1079,Month-to-Month,6,3,0,1
94,11,319,1-Year,8,1,0,1
95,9,341,2-Year,0,2,0,0
96,20,429,Month-to-Month,7,1,1,1
97,60,562,2-Year,5,2,1,0
98,15,618,Month-to-Month,1,5,0,1
99,49,1032,1-Year,3,1,1,0
100,32,1013,Month-to-Month,4,5,0,1
101,6,845,Month-to-Month,6,3,0,1
102,44,730,Month-to-Month,7,1,0,1
103,59,456,2-Year,6,2,1,0
104,35,851,1-Year,7,4,0,1
105,35,551,Month-to-Month,1,3,0,1
106,60,924,1-Year,6,3,0,1
107,42,799,Month-to-Month,3,3,0,1
108,36,310,1-Year,8,2,0,0
109,53,868,1-Year,3,4,1,0
110,58,395,Month-to-Month,4,2,0,1
111,40,895,2-Year,5,4,1,1
112,55,863,2-Year,5,3,1,1
113,40,536,Month-to-Month,1,2,0,1
114,69,489,2-Year,3,2,1,0
115,68,589,1-Year,1,2,0,0
116,23,314,Month-to-Month,8,2,0,0
117,7,599,1-Year,2,4,0,0
118,37,790,1-Year,7,3,0,1
119,33,416,1-Year,1,4,0,1
120,7,452,Month-to-Month,4,1,0,1
121,54,910,1-Year,3,5,0,0
122,57,902,Month-to-Month,6,3,1,1
123,13,940,Month-to-Month,3,3,1,0
124,31,865,Month-to-Month,1,2,0,1
125,61,333,Month-to-Month,3,3,1,0
126,59,1003,Month-to-Month,3,3,1,1
127,26,417,1-Year,8,2,1,0
128,35,373,Month-to-Month,0,2,0,1
129,37,427,1-Year,7,3,1,0
130,35,852,1-Year,7,4,0,1
131,56,630,2-Year,4,1,0,0
132,3,575,2-Year,0,2,0,0
133,57,485,Month-to-Month,6,4,0,1
134,53,628,Month-to-Month,1,2,0,1
135,64,978,Month-to-Month,6,5,0,1
136,41,631,Month-to-Month,1,4,1,0
137,1,855,2-Year,7,4,0,1
138,47,1074,1-Year,7,4,0,1
139,71,594,Month-to-Month,7,4,0,0
140,31,462,2-Year,4,5,0,0
141,12,416,Month-to-Month,7,1,1,1
142,64,598,2-Year,8,3,0,0
143,61,767,Month-to-Month,8,2,0,1
144,66,439,2-Year,1,3,0,0
145,65,302,Month-to-Month,4,3,1,0
146,63,757,Month-to-Month,8,4,0,1
147,70,766,1-Year,5,2,1,1
148,50,1094,Month-to-Month,6,1,0,1
149,49,979,1-Year,2,4,0,0
150,43,750,Month-to-Month,1,5,0,0
151,19,970,1-Year,2,1,0,1
152,34,938,Month-to-Month,6,1,0,1
153,69,624,1-Year,7,5,0,0
154,31,1000,2-Year,4,2,1,1
155,13,1020,2-Year,1,4,0,0
156,4,632,Month-to-Month,0,3,0,1
157,19,843,Month-to-Month,6,5,1,1
158,22,380,Month-to-Month,6,5,1,1
159,19,772,Month-to-Month,4,4,0,1
160,60,993,Month-to-Month,8,2,0,1
161,45,606,1-Year,6,3,0,0
162,26,794,1-Year,1,2,0,0
163,38,602,2-Year,0,4,0,1
164,7,1063,1-Year,7,3,0,1
165,46,951,Month-to-Month,3,5,0,1
166,18,399,2-Year,0,3,0,1
167,47,434,2-Year,1,3,0,0
168,23,435,Month-to-Month,8,3,1,1
169,35,563,Month-to-Month,7,3,1,1
170,15,377,1-Year,2,2,1,0
171,51,674,1-Year,1,4,0,0
172,16,677,1-Year,4,5,0,0
173,48,991,Month-to-Month,3,4,0,1
174,72,924,Month-to-Month,3,1,1,1
175,39,718,2-Year,1,2,0,0
176,39,418,1-Year,1,2,1,0
177,59,986,Month-to-Month,8,4,1,1
178,20,970,1-Year,1,4,1,0
179,36,1006,Month-to-Month,5,2,0,1
180,31,401,Month-to-Month,5,5,1,1
181,51,494,Month-to-Month,1,4,0,1
182,3,641,Month-to-Month,3,2,1,1
183,71,900,Month-to-Month,3,2,0,1
184,1,448,Month-to-Month,2,5,0,1
185,15,326,2-Year,2,1,0,0
186,31,631,1-Year,0,2,0,1
187,54,416,1-Year,1,4,0,0
188,66,411,1-Year,7,5,0,0
189,6,974,2-Year,8,3,0,1
190,4,790,Month-to-Month,6,4,1,1
191,57,382,Month-to-Month,5,5,0,0
192,36,948,1-Year,8,3,0,1
193,68,764,Month-to-Month,8,5,0,0
194,15,966,2-Year,8,2,0,1
195,30,647,1-Year,7,4,0,0
196,41,620,1-Year,4,3,0,0
197,61,393,Month-to-Month,1,1,0,0
198,48,869,Month-to-Month,0,5,1,1
199,16,662,1-Year,6,1,0,1
200,46,891,Month-to-Month,8,2,0,1
